[rosmaster.main][INFO] 2021-04-01 17:06:43,152: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2021-04-01 17:06:43,153: Starting ROS Master Node
[rosmaster.master][INFO] 2021-04-01 17:06:43,469: +PARAM [/mavros/startup_px4_usb_quirk] by /roslaunch
[rosmaster.master][INFO] 2021-04-01 17:06:43,470: +PUB [/rosout_agg] /rosout http://ivsr-nano-desktop:43353/
[rosmaster.master][INFO] 2021-04-01 17:06:43,470: +PARAM [/mavros/target_component_id] by /roslaunch
[rosmaster.master][INFO] 2021-04-01 17:06:43,471: +PARAM [/mavros/setpoint_position/tf/rate_limit] by /roslaunch
[rosmaster.master][INFO] 2021-04-01 17:06:43,472: +PARAM [/mavros/imu/orientation_stdev] by /roslaunch
[rosmaster.master][INFO] 2021-04-01 17:06:43,473: +PARAM [/mavros/wheel_odometry/child_frame_id] by /roslaunch
[rosmaster.master][INFO] 2021-04-01 17:06:43,474: +PARAM [/mavros/landing_target/tf/send] by /roslaunch
[rosmaster.master][INFO] 2021-04-01 17:06:43,476: +PARAM [/mavros/wheel_odometry/count] by /roslaunch
[rosmaster.master][INFO] 2021-04-01 17:06:43,476: +SUB [/rosout] /rosout http://ivsr-nano-desktop:43353/
[rosmaster.master][INFO] 2021-04-01 17:06:43,477: +PARAM [/mavros/wheel_odometry/wheel1/radius] by /roslaunch
[rosmaster.master][INFO] 2021-04-01 17:06:43,477: +PARAM [/mavros/fake_gps/tf/rate_limit] by /roslaunch
[rosmaster.master][INFO] 2021-04-01 17:06:43,478: +PARAM [/mavros/safety_area/p2/x] by /roslaunch
[rosmaster.master][INFO] 2021-04-01 17:06:43,478: +PARAM [/mavros/px4flow/ranger_fov] by /roslaunch
[rosmaster.master][INFO] 2021-04-01 17:06:43,478: +PARAM [/mavros/landing_target/mav_frame] by /roslaunch
[rosmaster.master][INFO] 2021-04-01 17:06:43,478: +PARAM [/mavros/safety_area/p2/y] by /roslaunch
[rosmaster.master][INFO] 2021-04-01 17:06:43,479: +PARAM [/mavros/distance_sensor/lidarlite_pub/field_of_view] by /roslaunch
[rosmaster.master][INFO] 2021-04-01 17:06:43,479: +PARAM [/mavros/fake_gps/geo_origin/lon] by /roslaunch
[rosmaster.master][INFO] 2021-04-01 17:06:43,479: +PARAM [/mavros/local_position/tf/send] by /roslaunch
[rosmaster.master][INFO] 2021-04-01 17:06:43,479: +PARAM [/mavros/plugin_blacklist] by /roslaunch
[rosmaster.master][INFO] 2021-04-01 17:06:43,480: +PARAM [/mavros/imu/frame_id] by /roslaunch
[rosmaster.master][INFO] 2021-04-01 17:06:43,480: +PARAM [/mavros/landing_target/tf/rate_limit] by /roslaunch
[rosmaster.master][INFO] 2021-04-01 17:06:43,480: +PARAM [/mavros/landing_target/camera/fov_y] by /roslaunch
[rosmaster.master][INFO] 2021-04-01 17:06:43,480: +PARAM [/mavros/landing_target/camera/fov_x] by /roslaunch
[rosmaster.master][INFO] 2021-04-01 17:06:43,481: +PARAM [/mavros/local_position/frame_id] by /roslaunch
[rosmaster.master][INFO] 2021-04-01 17:06:43,481: +PARAM [/mavros/wheel_odometry/wheel0/radius] by /roslaunch
[rosmaster.master][INFO] 2021-04-01 17:06:43,481: +PARAM [/mavros/distance_sensor/hrlv_ez4_pub/id] by /roslaunch
[rosmaster.master][INFO] 2021-04-01 17:06:43,481: +PARAM [/mavros/local_position/tf/frame_id] by /roslaunch
[rosmaster.master][INFO] 2021-04-01 17:06:43,482: +PARAM [/mavros/time/timesync_mode] by /roslaunch
[rosmaster.master][INFO] 2021-04-01 17:06:43,482: +PARAM [/mavros/setpoint_accel/send_force] by /roslaunch
[rosmaster.master][INFO] 2021-04-01 17:06:43,482: +PARAM [/mavros/landing_target/tf/frame_id] by /roslaunch
[rosmaster.master][INFO] 2021-04-01 17:06:43,482: +PARAM [/mavros/fake_gps/use_mocap] by /roslaunch
[rosmaster.master][INFO] 2021-04-01 17:06:43,482: +PARAM [/mavros/distance_sensor/hrlv_ez4_pub/frame_id] by /roslaunch
[rosmaster.master][INFO] 2021-04-01 17:06:43,483: +PARAM [/mavros/setpoint_attitude/reverse_thrust] by /roslaunch
[rosmaster.master][INFO] 2021-04-01 17:06:43,483: +PARAM [/mavros/vision_speed/twist_cov] by /roslaunch
[rosmaster.master][INFO] 2021-04-01 17:06:43,483: +PARAM [/mavros/local_position/tf/child_frame_id] by /roslaunch
[rosmaster.master][INFO] 2021-04-01 17:06:43,483: +PARAM [/mavros/landing_target/target_size/x] by /roslaunch
[rosmaster.master][INFO] 2021-04-01 17:06:43,484: +PARAM [/mavros/landing_target/target_size/y] by /roslaunch
[rosmaster.master][INFO] 2021-04-01 17:06:43,484: +PARAM [/mavros/distance_sensor/laser_1_sub/id] by /roslaunch
[rosmaster.master][INFO] 2021-04-01 17:06:43,484: +PARAM [/mavros/landing_target/image/width] by /roslaunch
[rosmaster.master][INFO] 2021-04-01 17:06:43,484: +PARAM [/mavros/setpoint_position/tf/listen] by /roslaunch
[rosmaster.master][INFO] 2021-04-01 17:06:43,485: +PARAM [/mavros/cmd/use_comp_id_system_control] by /roslaunch
[rosmaster.master][INFO] 2021-04-01 17:06:43,485: +PARAM [/mavros/plugin_whitelist] by /roslaunch
[rosmaster.master][INFO] 2021-04-01 17:06:43,485: +PARAM [/mavros/fake_gps/fix_type] by /roslaunch
[rosmaster.master][INFO] 2021-04-01 17:06:43,485: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2021-04-01 17:06:43,486: +PARAM [/mavros/conn/heartbeat_rate] by /roslaunch
[rosmaster.master][INFO] 2021-04-01 17:06:43,486: +PARAM [/mavros/distance_sensor/sonar_1_sub/subscriber] by /roslaunch
[rosmaster.master][INFO] 2021-04-01 17:06:43,486: +PARAM [/mavros/mocap/use_pose] by /roslaunch
[rosmaster.master][INFO] 2021-04-01 17:06:43,486: +PARAM [/mavros/global_position/tf/frame_id] by /roslaunch
[rosmaster.master][INFO] 2021-04-01 17:06:43,487: +PARAM [/mavros/tdr_radio/low_rssi] by /roslaunch
[rosmaster.master][INFO] 2021-04-01 17:06:43,487: +PARAM [/mavros/global_position/tf/child_frame_id] by /roslaunch
[rosmaster.master][INFO] 2021-04-01 17:06:43,487: +PARAM [/mavros/wheel_odometry/tf/frame_id] by /roslaunch
[rosmaster.master][INFO] 2021-04-01 17:06:43,487: +PARAM [/mavros/setpoint_velocity/mav_frame] by /roslaunch
[rosmaster.master][INFO] 2021-04-01 17:06:43,488: +PARAM [/mavros/global_position/use_relative_alt] by /roslaunch
[rosmaster.master][INFO] 2021-04-01 17:06:43,488: +PARAM [/mavros/fcu_protocol] by /roslaunch
[rosmaster.master][INFO] 2021-04-01 17:06:43,488: +PARAM [/mavros/wheel_odometry/use_rpm] by /roslaunch
[rosmaster.master][INFO] 2021-04-01 17:06:43,488: +PARAM [/mavros/distance_sensor/lidarlite_pub/sensor_position/x] by /roslaunch
[rosmaster.master][INFO] 2021-04-01 17:06:43,488: +PARAM [/mavros/distance_sensor/lidarlite_pub/sensor_position/y] by /roslaunch
[rosmaster.master][INFO] 2021-04-01 17:06:43,489: +PARAM [/mavros/distance_sensor/lidarlite_pub/sensor_position/z] by /roslaunch
[rosmaster.master][INFO] 2021-04-01 17:06:43,489: +PARAM [/mavros/setpoint_position/mav_frame] by /roslaunch
[rosmaster.master][INFO] 2021-04-01 17:06:43,489: +PARAM [/mavros/fake_gps/geo_origin/alt] by /roslaunch
[rosmaster.master][INFO] 2021-04-01 17:06:43,489: +PARAM [/mavros/setpoint_raw/thrust_scaling] by /roslaunch
[rosmaster.master][INFO] 2021-04-01 17:06:43,490: +PARAM [/mavros/safety_area/p1/z] by /roslaunch
[rosmaster.master][INFO] 2021-04-01 17:06:43,490: +PARAM [/mavros/safety_area/p1/y] by /roslaunch
[rosmaster.master][INFO] 2021-04-01 17:06:43,490: +PARAM [/mavros/safety_area/p1/x] by /roslaunch
[rosmaster.master][INFO] 2021-04-01 17:06:43,490: +PARAM [/mavros/fake_gps/eph] by /roslaunch
[rosmaster.master][INFO] 2021-04-01 17:06:43,491: +PARAM [/mavros/global_position/tf/send] by /roslaunch
[rosmaster.master][INFO] 2021-04-01 17:06:43,491: +PARAM [/mavros/vision_pose/tf/child_frame_id] by /roslaunch
[rosmaster.master][INFO] 2021-04-01 17:06:43,491: +PARAM [/mavros/fake_gps/tf/listen] by /roslaunch
[rosmaster.master][INFO] 2021-04-01 17:06:43,491: +PARAM [/mavros/vibration/frame_id] by /roslaunch
[rosmaster.master][INFO] 2021-04-01 17:06:43,492: +PARAM [/mavros/fake_gps/tf/frame_id] by /roslaunch
[rosmaster.master][INFO] 2021-04-01 17:06:43,492: +PARAM [/mavros/safety_area/p2/z] by /roslaunch
[rosmaster.master][INFO] 2021-04-01 17:06:43,492: +PARAM [/mavros/setpoint_attitude/use_quaternion] by /roslaunch
[rosmaster.master][INFO] 2021-04-01 17:06:43,492: +PARAM [/mavros/fake_gps/satellites_visible] by /roslaunch
[rosmaster.master][INFO] 2021-04-01 17:06:43,493: +PARAM [/mavros/time/time_ref_source] by /roslaunch
[rosmaster.master][INFO] 2021-04-01 17:06:43,493: +PARAM [/mavros/target_system_id] by /roslaunch
[rosmaster.master][INFO] 2021-04-01 17:06:43,493: +PARAM [/mavros/conn/timesync_rate] by /roslaunch
[rosmaster.master][INFO] 2021-04-01 17:06:43,493: +PARAM [/mavros/fake_gps/epv] by /roslaunch
[rosmaster.master][INFO] 2021-04-01 17:06:43,493: +PARAM [/mavros/px4flow/ranger_max_range] by /roslaunch
[rosmaster.master][INFO] 2021-04-01 17:06:43,494: +PARAM [/mavros/setpoint_attitude/tf/child_frame_id] by /roslaunch
[rosmaster.master][INFO] 2021-04-01 17:06:43,494: +PARAM [/mavros/mission/pull_after_gcs] by /roslaunch
[rosmaster.master][INFO] 2021-04-01 17:06:43,494: +PARAM [/mavros/gcs_url] by /roslaunch
[rosmaster.master][INFO] 2021-04-01 17:06:43,494: +PARAM [/mavros/distance_sensor/lidarlite_pub/id] by /roslaunch
[rosmaster.master][INFO] 2021-04-01 17:06:43,495: +PARAM [/mavros/imu/angular_velocity_stdev] by /roslaunch
[rosmaster.master][INFO] 2021-04-01 17:06:43,495: +PARAM [/mavros/wheel_odometry/tf/child_frame_id] by /roslaunch
[rosmaster.master][INFO] 2021-04-01 17:06:43,495: +PARAM [/mavros/distance_sensor/laser_1_sub/subscriber] by /roslaunch
[rosmaster.master][INFO] 2021-04-01 17:06:43,495: +PARAM [/mavros/distance_sensor/sonar_1_sub/orientation] by /roslaunch
[rosmaster.master][INFO] 2021-04-01 17:06:43,496: +PARAM [/mavros/wheel_odometry/send_raw] by /roslaunch
[rosmaster.master][INFO] 2021-04-01 17:06:43,496: +PARAM [/mavros/wheel_odometry/wheel0/y] by /roslaunch
[rosmaster.master][INFO] 2021-04-01 17:06:43,496: +PARAM [/mavros/wheel_odometry/wheel0/x] by /roslaunch
[rosmaster.master][INFO] 2021-04-01 17:06:43,496: +PARAM [/mavros/vision_pose/tf/frame_id] by /roslaunch
[rosmaster.master][INFO] 2021-04-01 17:06:43,497: +PARAM [/mavros/global_position/tf/global_frame_id] by /roslaunch
[rosmaster.master][INFO] 2021-04-01 17:06:43,497: +PARAM [/mavros/vision_speed/listen_twist] by /roslaunch
[rosmaster.master][INFO] 2021-04-01 17:06:43,497: +PARAM [/mavros/wheel_odometry/wheel1/x] by /roslaunch
[rosmaster.master][INFO] 2021-04-01 17:06:43,497: +PARAM [/mavros/wheel_odometry/wheel1/y] by /roslaunch
[rosmaster.master][INFO] 2021-04-01 17:06:43,497: +PARAM [/mavros/vision_pose/tf/rate_limit] by /roslaunch
[rosmaster.master][INFO] 2021-04-01 17:06:43,498: +PARAM [/mavros/distance_sensor/sonar_1_sub/id] by /roslaunch
[rosmaster.master][INFO] 2021-04-01 17:06:43,498: +PARAM [/mavros/global_position/rot_covariance] by /roslaunch
[rosmaster.master][INFO] 2021-04-01 17:06:43,498: +PARAM [/mavros/landing_target/land_target_type] by /roslaunch
[rosmaster.master][INFO] 2021-04-01 17:06:43,498: +PARAM [/mavros/distance_sensor/lidarlite_pub/frame_id] by /roslaunch
[rosmaster.master][INFO] 2021-04-01 17:06:43,499: +PARAM [/mavros/distance_sensor/laser_1_sub/orientation] by /roslaunch
[rosmaster.master][INFO] 2021-04-01 17:06:43,499: +PARAM [/mavros/landing_target/tf/listen] by /roslaunch
[rosmaster.master][INFO] 2021-04-01 17:06:43,499: +PARAM [/mavros/wheel_odometry/vel_error] by /roslaunch
[rosmaster.master][INFO] 2021-04-01 17:06:43,500: +PARAM [/mavros/fake_gps/mocap_transform] by /roslaunch
[rosmaster.master][INFO] 2021-04-01 17:06:43,500: +PARAM [/mavros/setpoint_attitude/tf/frame_id] by /roslaunch
[rosmaster.master][INFO] 2021-04-01 17:06:43,500: +PARAM [/mavros/mocap/use_tf] by /roslaunch
[rosmaster.master][INFO] 2021-04-01 17:06:43,500: +PARAM [/mavros/landing_target/listen_lt] by /roslaunch
[rosmaster.master][INFO] 2021-04-01 17:06:43,500: +PARAM [/mavros/conn/system_time_rate] by /roslaunch
[rosmaster.master][INFO] 2021-04-01 17:06:43,501: +PARAM [/mavros/wheel_odometry/frame_id] by /roslaunch
[rosmaster.master][INFO] 2021-04-01 17:06:43,501: +PARAM [/mavros/fake_gps/tf/child_frame_id] by /roslaunch
[rosmaster.master][INFO] 2021-04-01 17:06:43,501: +PARAM [/mavros/global_position/child_frame_id] by /roslaunch
[rosmaster.master][INFO] 2021-04-01 17:06:43,501: +PARAM [/mavros/px4flow/frame_id] by /roslaunch
[rosmaster.master][INFO] 2021-04-01 17:06:43,502: +PARAM [/mavros/px4flow/ranger_min_range] by /roslaunch
[rosmaster.master][INFO] 2021-04-01 17:06:43,502: +PARAM [/mavros/imu/magnetic_stdev] by /roslaunch
[rosmaster.master][INFO] 2021-04-01 17:06:43,502: +PARAM [/mavros/conn/timeout] by /roslaunch
[rosmaster.master][INFO] 2021-04-01 17:06:43,502: +PARAM [/mavros/distance_sensor/hrlv_ez4_pub/sensor_position/z] by /roslaunch
[rosmaster.master][INFO] 2021-04-01 17:06:43,503: +PARAM [/mavros/distance_sensor/hrlv_ez4_pub/sensor_position/y] by /roslaunch
[rosmaster.master][INFO] 2021-04-01 17:06:43,503: +PARAM [/mavros/distance_sensor/hrlv_ez4_pub/sensor_position/x] by /roslaunch
[rosmaster.master][INFO] 2021-04-01 17:06:43,503: +PARAM [/mavros/distance_sensor/lidarlite_pub/orientation] by /roslaunch
[rosmaster.master][INFO] 2021-04-01 17:06:43,503: +PARAM [/mavros/fake_gps/tf/send] by /roslaunch
[rosmaster.master][INFO] 2021-04-01 17:06:43,504: +PARAM [/mavros/fcu_url] by /roslaunch
[rosmaster.master][INFO] 2021-04-01 17:06:43,504: +PARAM [/mavros/odometry/fcu/odom_parent_id_des] by /roslaunch
[rosmaster.master][INFO] 2021-04-01 17:06:43,504: +PARAM [/mavros/distance_sensor/hrlv_ez4_pub/field_of_view] by /roslaunch
[rosmaster.master][INFO] 2021-04-01 17:06:43,504: +PARAM [/mavros/distance_sensor/hrlv_ez4_pub/send_tf] by /roslaunch
[rosmaster.master][INFO] 2021-04-01 17:06:43,505: +PARAM [/mavros/distance_sensor/lidarlite_pub/send_tf] by /roslaunch
[rosmaster.master][INFO] 2021-04-01 17:06:43,505: +PARAM [/mavros/landing_target/image/height] by /roslaunch
[rosmaster.master][INFO] 2021-04-01 17:06:43,505: +PARAM [/mavros/setpoint_attitude/tf/rate_limit] by /roslaunch
[rosmaster.master][INFO] 2021-04-01 17:06:43,505: +PARAM [/mavros/vision_pose/tf/listen] by /roslaunch
[rosmaster.master][INFO] 2021-04-01 17:06:43,505: +PARAM [/mavros/wheel_odometry/send_twist] by /roslaunch
[rosmaster.master][INFO] 2021-04-01 17:06:43,506: +PARAM [/mavros/distance_sensor/hrlv_ez4_pub/orientation] by /roslaunch
[rosmaster.master][INFO] 2021-04-01 17:06:43,506: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2021-04-01 17:06:43,506: +PARAM [/mavros/setpoint_position/tf/frame_id] by /roslaunch
[rosmaster.master][INFO] 2021-04-01 17:06:43,506: +PARAM [/mavros/sys/min_voltage] by /roslaunch
[rosmaster.master][INFO] 2021-04-01 17:06:43,507: +PARAM [/mavros/fake_gps/geo_origin/lat] by /roslaunch
[rosmaster.master][INFO] 2021-04-01 17:06:43,507: +PARAM [/mavros/fake_gps/gps_rate] by /roslaunch
[rosmaster.master][INFO] 2021-04-01 17:06:43,507: +PARAM [/mavros/global_position/gps_uere] by /roslaunch
[rosmaster.master][INFO] 2021-04-01 17:06:43,507: +PARAM [/mavros/global_position/frame_id] by /roslaunch
[rosmaster.master][INFO] 2021-04-01 17:06:43,508: +PARAM [/mavros/local_position/tf/send_fcu] by /roslaunch
[rosmaster.master][INFO] 2021-04-01 17:06:43,508: +PARAM [/mavros/time/timesync_avg_alpha] by /roslaunch
[rosmaster.master][INFO] 2021-04-01 17:06:43,508: +PARAM [/mavros/fake_gps/use_vision] by /roslaunch
[rosmaster.master][INFO] 2021-04-01 17:06:43,641: +PUB [/rosout] /mavros http://ivsr-nano-desktop:40207/
[rosmaster.master][INFO] 2021-04-01 17:06:43,642: +SERVICE [/mavros/get_loggers] /mavros http://ivsr-nano-desktop:40207/
[rosmaster.master][INFO] 2021-04-01 17:06:43,643: +SERVICE [/mavros/set_logger_level] /mavros http://ivsr-nano-desktop:40207/
[rosmaster.master][INFO] 2021-04-01 17:06:43,645: +PUB [/diagnostics] /mavros http://ivsr-nano-desktop:40207/
[rosmaster.master][INFO] 2021-04-01 17:06:43,646: +CACHEDPARAM [/mavros/diagnostic_period] by /mavros
[rosmaster.master][INFO] 2021-04-01 17:06:43,658: publisherUpdate[/rosout] -> http://ivsr-nano-desktop:43353/ ['http://ivsr-nano-desktop:40207/']
[rosmaster.master][INFO] 2021-04-01 17:06:43,662: publisherUpdate[/rosout] -> http://ivsr-nano-desktop:43353/ ['http://ivsr-nano-desktop:40207/']: sec=0.00, result=[1, '', 0]
[rosmaster.master][INFO] 2021-04-01 17:06:43,693: +SUB [/tf] /mavros http://ivsr-nano-desktop:40207/
[rosmaster.master][INFO] 2021-04-01 17:06:43,698: +SUB [/tf_static] /mavros http://ivsr-nano-desktop:40207/
[rosmaster.master][INFO] 2021-04-01 17:06:43,700: +PUB [/tf] /mavros http://ivsr-nano-desktop:40207/
[rosmaster.master][INFO] 2021-04-01 17:06:43,701: +PUB [/tf_static] /mavros http://ivsr-nano-desktop:40207/
[rosmaster.master][INFO] 2021-04-01 17:06:43,758: publisherUpdate[/tf] -> http://ivsr-nano-desktop:40207/ ['http://ivsr-nano-desktop:40207/']
[rosmaster.master][INFO] 2021-04-01 17:06:43,763: publisherUpdate[/tf] -> http://ivsr-nano-desktop:40207/ ['http://ivsr-nano-desktop:40207/']: sec=0.00, result=[1, '', 0]
[rosmaster.master][INFO] 2021-04-01 17:06:43,763: publisherUpdate[/tf_static] -> http://ivsr-nano-desktop:40207/ ['http://ivsr-nano-desktop:40207/']
[rosmaster.master][INFO] 2021-04-01 17:06:43,765: publisherUpdate[/tf_static] -> http://ivsr-nano-desktop:40207/ ['http://ivsr-nano-desktop:40207/']: sec=0.00, result=[1, '', 0]
[rosmaster.master][INFO] 2021-04-01 17:06:43,987: +CACHEDPARAM [/rosout_disable_topics_generation] by /mavros
[rosmaster.master][INFO] 2021-04-01 17:06:43,991: +CACHEDPARAM [/rosout/omit_topics] by /rosout
[rosmaster.master][INFO] 2021-04-01 17:06:43,996: +PUB [/mavlink/from] /mavros http://ivsr-nano-desktop:40207/
[rosmaster.master][INFO] 2021-04-01 17:06:44,001: +SUB [/mavlink/to] /mavros http://ivsr-nano-desktop:40207/
[rosmaster.master][INFO] 2021-04-01 17:06:44,037: +PUB [/mavros/radio_status] /mavros http://ivsr-nano-desktop:40207/
[rosmaster.master][INFO] 2021-04-01 17:06:44,040: +PUB [/mavros/target_actuator_control] /mavros http://ivsr-nano-desktop:40207/
[rosmaster.master][INFO] 2021-04-01 17:06:44,045: +SUB [/mavros/actuator_control] /mavros http://ivsr-nano-desktop:40207/
[rosmaster.master][INFO] 2021-04-01 17:06:44,062: +PUB [/mavros/adsb/vehicle] /mavros http://ivsr-nano-desktop:40207/
[rosmaster.master][INFO] 2021-04-01 17:06:44,068: +SUB [/mavros/adsb/send] /mavros http://ivsr-nano-desktop:40207/
[rosmaster.master][INFO] 2021-04-01 17:06:44,072: +PUB [/mavros/altitude] /mavros http://ivsr-nano-desktop:40207/
[rosmaster.master][INFO] 2021-04-01 17:06:44,074: +PUB [/mavros/cam_imu_sync/cam_imu_stamp] /mavros http://ivsr-nano-desktop:40207/
[rosmaster.master][INFO] 2021-04-01 17:06:44,080: +SERVICE [/mavros/cmd/command] /mavros http://ivsr-nano-desktop:40207/
[rosmaster.master][INFO] 2021-04-01 17:06:44,081: +SERVICE [/mavros/cmd/command_int] /mavros http://ivsr-nano-desktop:40207/
[rosmaster.master][INFO] 2021-04-01 17:06:44,083: +SERVICE [/mavros/cmd/arming] /mavros http://ivsr-nano-desktop:40207/
[rosmaster.master][INFO] 2021-04-01 17:06:44,084: +SERVICE [/mavros/cmd/set_home] /mavros http://ivsr-nano-desktop:40207/
[rosmaster.master][INFO] 2021-04-01 17:06:44,085: +SERVICE [/mavros/cmd/takeoff] /mavros http://ivsr-nano-desktop:40207/
[rosmaster.master][INFO] 2021-04-01 17:06:44,085: +SERVICE [/mavros/cmd/land] /mavros http://ivsr-nano-desktop:40207/
[rosmaster.master][INFO] 2021-04-01 17:06:44,086: +SERVICE [/mavros/cmd/trigger_control] /mavros http://ivsr-nano-desktop:40207/
[rosmaster.master][INFO] 2021-04-01 17:06:44,087: +SERVICE [/mavros/cmd/trigger_interval] /mavros http://ivsr-nano-desktop:40207/
[rosmaster.master][INFO] 2021-04-01 17:06:44,088: +SERVICE [/mavros/cmd/vtol_transition] /mavros http://ivsr-nano-desktop:40207/
[rosmaster.master][INFO] 2021-04-01 17:06:44,094: +SUB [/mavros/companion_process/status] /mavros http://ivsr-nano-desktop:40207/
[rosmaster.master][INFO] 2021-04-01 17:06:44,100: +SUB [/mavros/debug_value/send] /mavros http://ivsr-nano-desktop:40207/
[rosmaster.master][INFO] 2021-04-01 17:06:44,101: +PUB [/mavros/debug_value/debug] /mavros http://ivsr-nano-desktop:40207/
[rosmaster.master][INFO] 2021-04-01 17:06:44,102: +PUB [/mavros/debug_value/debug_vector] /mavros http://ivsr-nano-desktop:40207/
[rosmaster.master][INFO] 2021-04-01 17:06:44,103: +PUB [/mavros/debug_value/named_value_float] /mavros http://ivsr-nano-desktop:40207/
[rosmaster.master][INFO] 2021-04-01 17:06:44,105: +PUB [/mavros/debug_value/named_value_int] /mavros http://ivsr-nano-desktop:40207/
[rosmaster.master][INFO] 2021-04-01 17:06:44,106: +PUB [/mavros/esc_info] /mavros http://ivsr-nano-desktop:40207/
[rosmaster.master][INFO] 2021-04-01 17:06:44,108: +PUB [/mavros/esc_status] /mavros http://ivsr-nano-desktop:40207/
[rosmaster.master][INFO] 2021-04-01 17:06:44,135: +SUB [/mavros/fake_gps/mocap/tf] /mavros http://ivsr-nano-desktop:40207/
[rosmaster.master][INFO] 2021-04-01 17:06:44,137: +SERVICE [/mavros/ftp/list] /mavros http://ivsr-nano-desktop:40207/
[rosmaster.master][INFO] 2021-04-01 17:06:44,138: +SERVICE [/mavros/ftp/open] /mavros http://ivsr-nano-desktop:40207/
[rosmaster.master][INFO] 2021-04-01 17:06:44,139: +SERVICE [/mavros/ftp/close] /mavros http://ivsr-nano-desktop:40207/
[rosmaster.master][INFO] 2021-04-01 17:06:44,140: +SERVICE [/mavros/ftp/read] /mavros http://ivsr-nano-desktop:40207/
[rosmaster.master][INFO] 2021-04-01 17:06:44,141: +SERVICE [/mavros/ftp/write] /mavros http://ivsr-nano-desktop:40207/
[rosmaster.master][INFO] 2021-04-01 17:06:44,142: +SERVICE [/mavros/ftp/mkdir] /mavros http://ivsr-nano-desktop:40207/
[rosmaster.master][INFO] 2021-04-01 17:06:44,143: +SERVICE [/mavros/ftp/rmdir] /mavros http://ivsr-nano-desktop:40207/
[rosmaster.master][INFO] 2021-04-01 17:06:44,144: +SERVICE [/mavros/ftp/remove] /mavros http://ivsr-nano-desktop:40207/
[rosmaster.master][INFO] 2021-04-01 17:06:44,145: +SERVICE [/mavros/ftp/truncate] /mavros http://ivsr-nano-desktop:40207/
[rosmaster.master][INFO] 2021-04-01 17:06:44,146: +SERVICE [/mavros/ftp/reset] /mavros http://ivsr-nano-desktop:40207/
[rosmaster.master][INFO] 2021-04-01 17:06:44,147: +SERVICE [/mavros/ftp/rename] /mavros http://ivsr-nano-desktop:40207/
[rosmaster.master][INFO] 2021-04-01 17:06:44,148: +SERVICE [/mavros/ftp/checksum] /mavros http://ivsr-nano-desktop:40207/
[rosmaster.master][INFO] 2021-04-01 17:06:44,162: +PUB [/mavros/global_position/raw/fix] /mavros http://ivsr-nano-desktop:40207/
[rosmaster.master][INFO] 2021-04-01 17:06:44,163: +PUB [/mavros/global_position/raw/gps_vel] /mavros http://ivsr-nano-desktop:40207/
[rosmaster.master][INFO] 2021-04-01 17:06:44,164: +PUB [/mavros/global_position/raw/satellites] /mavros http://ivsr-nano-desktop:40207/
[rosmaster.master][INFO] 2021-04-01 17:06:44,165: +PUB [/mavros/global_position/global] /mavros http://ivsr-nano-desktop:40207/
